expletive, 58, 7.86346119299399e-06
US Naval Reserve, 1, 9.68007356855912e-06
measles, -14, 7.86346119299399e-06
unmuzzling, -2, 7.86346119299399e-06
classist, 2, 7.86346119299399e-06
bird feeder, 13, 9.20649241845349e-06
inconsequential, -5, 7.83488064589078e-06
public speaking, 22, 7.86346119299399e-06
richer, 2, 7.86346119299399e-06
acetum, 7, 9.20649241845349e-06
dwelling, 45, 7.83488064589078e-06
testimonial banquet, 2, 7.86346119299399e-06
prat, 814, 7.86346119299399e-06
out of measure, 2, 7.86346119299399e-06
islanded, -2, 7.86346119299399e-06
colorado, 14, 7.86346119299399e-06
floppiness, -2, 7.86346119299399e-06
deep-sunken, 2, 7.86346119299399e-06
apnea, 6, 7.86346119299399e-06
matter of fact, 8, 7.86346119299399e-06
get cold feet, 2, 7.86346119299399e-06
castor bean plant, 31, 9.20649241845349e-06
maxillary, 22, 7.86346119299399e-06
lumbar, 3, 7.86346119299399e-06
solitudinarian, 32, 7.86346119299399e-06
evasiveness, 14, 7.86346119299399e-06
revolite, 2, 7.86346119299399e-06
bitter end, 10, 7.86346119299399e-06
first-chop, 2, 7.86346119299399e-06
nitrostat, 43, 9.20649241845349e-06
weather ship, 6, 7.86346119299399e-06
veloce, 2, 7.86346119299399e-06
aiglet, 13, 9.20649241845349e-06
waldmeister, 43, 9.20649241845349e-06
simple eye, 13, 9.20649241845349e-06
dually, 2, 7.86346119299399e-06
crescentiform, 2, 7.86346119299399e-06
liege man, 2, 7.86346119299399e-06
get a fix, 2, 7.86346119299399e-06
kuki-chin, 2, 7.86346119299399e-06
cerebrum, 6, 7.86346119299399e-06
bothrops atrops, 7, 9.20649241845349e-06
exercise, 23, 7.83488064589078e-06
batting, 7, 9.20649241845349e-06
marine animal, 22, 7.86346119299399e-06
isaac hull, 7, 9.20649241845349e-06
villainousness, -8, 7.86346119299399e-06
make a funny, 2, 7.86346119299399e-06
chromism, 2, 7.86346119299399e-06
summons of death, 2, 7.86346119299399e-06
pawn, 14, 7.86346119299399e-06
ashcake, 13, 9.20649241845349e-06
sandwiching, -2, 7.86346119299399e-06
