expletive, -57, 3.4148340390657e-05
levity, 10, 6.32971851947078e-05
stuff and nonsense, -21, 3.4148340390657e-05
unsure, -5, 6.32971851947078e-05
inept, -5, 6.32971851947078e-05
proven, 3, 3.33844890505259e-05
public speaking, 21, 3.4148340390657e-05
perverted, -5, 6.32971851947078e-05
inconsequential, -5, 6.32971851947078e-05
issue, 57, 3.4148340390657e-05
mistrial, -6, 3.33844890505259e-05
harp, -7, 3.4148340390657e-05
poker chip, -7, 3.4148340390657e-05
bloodletting, -21, 3.4148340390657e-05
dwelling, 44, 3.33844890505259e-05
taken, 5, 3.33844890505259e-05
prat, -813, 3.4148340390657e-05
misexpound, -2, 3.33844890505259e-05
load, 74, 3.33844890505259e-05
bowl over, -57, 3.4148340390657e-05
meld, 133, 3.4148340390657e-05
defiantly, -2, 6.32971851947078e-05
agitation, -32, 6.32971851947078e-05
unfamiliar with, -3, 3.33844890505259e-05
evasiveness, -13, 3.4148340390657e-05
trump, -6, 6.32971851947078e-05
unscratched, -2, 3.33844890505259e-05
felicity, 9, 6.32971851947078e-05
uncommitted, -5, 3.33844890505259e-05
clang, -57, 3.4148340390657e-05
magnetic dip, 31, 3.4148340390657e-05
descend, -13, 3.4148340390657e-05
simple eye, -13, 3.4148340390657e-05
covetousness, -31, 3.4148340390657e-05
appointee, 7, 3.4148340390657e-05
unmanageability, -2, 3.33844890505259e-05
civility, 9, 6.32971851947078e-05
settling, 14, 3.33844890505259e-05
artistic, 6, 3.33844890505259e-05
violent storm, -7, 3.4148340390657e-05
can, -813, 3.4148340390657e-05
exercise, 14, 3.33844890505259e-05
batting, 7, 3.4148340390657e-05
peevishness, -57, 3.4148340390657e-05
breathlessness, -11, 6.32971851947078e-05
unpresumptuousness, -2, 3.33844890505259e-05
asphyxiate, -21, 3.4148340390657e-05
favor, 17, 6.32971851947078e-05
bewitchment, 7, 3.4148340390657e-05
unfaithfulness, -8, 3.33844890505259e-05
unbooked, -3, 3.33844890505259e-05
unamazement, -2, 3.33844890505259e-05
wealthy, 3, 6.32971851947078e-05
set ashore, 13, 3.4148340390657e-05
the tempter, -57, 3.4148340390657e-05
regretful, 4, 6.32971851947078e-05
k, 111, 3.4148340390657e-05
diseased, -3, 6.32971851947078e-05
unconsidered, -3, 3.33844890505259e-05
satisfying, 5, 6.32971851947078e-05
unguardedly, -2, 3.33844890505259e-05
move through, -31, 3.4148340390657e-05
undamped, -2, 3.33844890505259e-05
restful, 5, 6.32971851947078e-05
crest, 43, 3.4148340390657e-05
mallard, -8, 3.33844890505259e-05
unbeaten, -3, 3.33844890505259e-05
siege, -22, 6.32971851947078e-05
superstar, 241, 3.4148340390657e-05
sir oliver lodge, 13, 3.4148340390657e-05
manipulative, -3, 6.32971851947078e-05
disrelated, -2, 3.33844890505259e-05
nonalignment, -8, 3.33844890505259e-05
disassemble, -32, 3.33844890505259e-05
impersonal, -5, 6.32971851947078e-05
maximise, 14, 3.4148340390657e-05
unnotable, -2, 3.33844890505259e-05
unrealistic, -4, 6.32971851947078e-05
lenity, 21, 3.4148340390657e-05
tutelage, 13, 3.4148340390657e-05
undeniable, -2, 3.33844890505259e-05
oath, -57, 3.4148340390657e-05
misrepresentation, -15, 6.32971851947078e-05
regardfully, 2, 3.33844890505259e-05
estimate, 32, 3.33844890505259e-05
carrier bag, -21, 3.4148340390657e-05
sodality, 13, 3.4148340390657e-05
nonprosecution, -2, 3.33844890505259e-05
valiantly, 3, 6.32971851947078e-05
dent, -6, 3.33844890505259e-05
magazine, 21, 3.4148340390657e-05
dodging, -13, 3.4148340390657e-05
break out, -20, 3.4148340390657e-05
satisfactorily, 4, 6.32971851947078e-05
loathly, -3, 6.32971851947078e-05
booth, -21, 3.4148340390657e-05
dalliance, -43, 3.4148340390657e-05
proof, 14, 3.33844890505259e-05
appreciable, 5, 6.32971851947078e-05
indirect, -3, 3.33844890505259e-05
grammatic, 3, 3.33844890505259e-05
merry andrew, -31, 3.4148340390657e-05
schoolhouse, 7, 3.4148340390657e-05
drub, -43, 3.4148340390657e-05
unoften, -2, 3.33844890505259e-05
indirect initiative, -2, 3.33844890505259e-05
flail, -28, 3.4148340390657e-05
steady down, 31, 3.4148340390657e-05
disembarrass, 12, 3.33844890505259e-05
wish well, 7, 3.4148340390657e-05
bobble, -601, 3.4148340390657e-05
immorally, -2, 6.32971851947078e-05
frenetic, -3, 6.32971851947078e-05
thin out, 31, 3.4148340390657e-05
pregnable, 2, 3.33844890505259e-05
enchanting, 4, 6.32971851947078e-05
defrayment, 13, 3.4148340390657e-05
unlawful, -3, 6.32971851947078e-05
objurgate, -31, 3.4148340390657e-05
finality, 13, 3.4148340390657e-05
owned, 3, 3.33844890505259e-05
demonstrability, 7, 3.4148340390657e-05
abash, -8, 6.32971851947078e-05
divvy up, 31, 3.4148340390657e-05
kingmaker, 22, 6.32971851947078e-05
soundness, 15, 6.32971851947078e-05
curler, 21, 3.4148340390657e-05
miserable, -8, 6.32971851947078e-05
nonprofessional, -3, 3.33844890505259e-05
unsteady market, -2, 3.33844890505259e-05
arresting, 3, 6.32971851947078e-05
drill hole, -13, 3.4148340390657e-05
shoot for, 21, 3.4148340390657e-05
sturm und drang, -13, 3.4148340390657e-05
trim back, 73, 3.4148340390657e-05
recurrence, 7, 3.4148340390657e-05
reprovingly, -2, 6.32971851947078e-05
goofproof, 13, 3.4148340390657e-05
draconian, -3, 6.32971851947078e-05
intrepid, 3, 3.33844890505259e-05
conditions, 21, 3.4148340390657e-05
unadvised, -4, 3.33844890505259e-05
protection, 9, 6.32971851947078e-05
