expletive, -9
US Naval Reserve, 1
measles, -45
unmuzzling, -6
classist, -1
public speaking, 6
inconsequential, -65
representative government, 12
richer, 1
testimonial banquet, 21
dwelling, 23
prat, -4
islanded, -1
colorado, 1
deep-sunken, -2
floppiness, -3
apnea, -46
matter of fact, 18
get cold feet, -7
maxillary, 2
lumbar, 1
solitudinarian, -10
evasiveness, -17
bitter end, 12
first-chop, 7
weather ship, 3
veloce, 1
dually, 1
crescentiform, 8
get a fix, 16
liege man, -10
cerebrum, 6
light-blue, -2
exercise, 145
marine animal, -14
villainousness, -11
make a funny, -3
chromism, 12
summons of death, -5
pawn, 13
sandwiching, -2
Diana, -1
bewitchment, 57
cheaters, 3
unamazement, 1
picking and choosing, 1
satisfying, 80
undamped, -11
Chiroptera, -4
spine-chilling, -3
clothier, -2
sax, -1
colluvies, 5
funnyman, -7
floweret, 6
cobalt green, 1
disrelated, -25
feline, 10
whyfor, 3
arcadian, -15
snoopy, -8
Rhesus factor, 18
unrealistic, -8
lenity, 40
manic depressive, -1
aeromotor, 5
rapid fire, 8
tautological, -6
sodality, 39
outcrop, 24
thermionic emission, 1
mail-order buying, 2
unremorsefully, -4
valiantly, 8
dent, 26
n-tuple linear algebra, 2
join the opposition, -10
break out, -19
loathly, -1
booth, 4
county police, 6
debiting, 1
sparging, -14
appreciable, 30
documentary, 82
working on, 16
podgy, -21
know inside out, 2
doctrinary, 3
indirect initiative, 2
amanuensis, 30
fire hook, -8
festooned pahoehoe, -8
enigmatic, -52
recollected, 18
disembarrass, -26
heave out, -17
unintermittingly, 5
householder, 12
uncompassionately, -4
hoot owl, -1
objurgate, -18
on sabbatical leave, -2
compatriot, 17
selling agent, 3
Arcadia, 17
despising, -26
Ionic, 3
loftily, 5
reprovingly, -1
pluvious, -1
leave the country, -2
electronic-flash unit, 1
list price, 6
intrepid, 14
environs, 48
ten cents, 15
schoolmastering, 4
Paul Revere, 8
pheon, 42
cola, -2
commixture, 16
bicycle seat, 3
compurgation, 24
suffragism, 3
mass-produce, 15
dissociated, -25
callus, -15
cave art, 11
security agreement, 1
rural economy, 10
tangential, 7
proclamation, 52
be apprised of, 20
falcade, 5
biographical sketch, 24
gear train, 3
jostle, -65
broad spectrum, 1
connote, 39
gup, -20
ill-educated, -27
exec, 14
natural theology, 7
reducing, 4
Old Nick, -6
sell retail, -2
unauthoritative, -37
nethermost, 6
nonfiction, 37
mechanical engineer, 1
combat zone, -1
Liberty Party, 3
weary-footed, -24
perspicuously, 8
go partners, 35
receiving set, 9
un-come-at-able, -16
disjoined, -55
labium, 25
interlacery, 10
tetrahedron, 8
dissension, -65
immediately, 25
not long ago, 2
interrelated, 25
cooked, 1
prostate gland, 1
goodwife, -3
by election, 4
idolistic, -3
show business, 7
sailing packet, -3
samovar, -1
honorary, 3
nippy, -22
bounden, 9
amenities, 26
gantlet, -1
loutish, -68
begging, 2
stroke of wit, 7
go forth, 13
fuss-budget, -5
crambo clink, -1
mite, 11
new theology, -2
thoughtless, -172
aguey, -8
elation, 22
swampland, -16
clock-watching, -3
circumscribed, 10
carriage trade, 19
hold in view, 14
quantizable, 8
Hindu calendar, 1
skimmington, 15
peaked cap, 2
pasturage, 12
hacienda, 23
thurifer, 6
full-armed, 2
gold filled, 1
choicelessness, -2
rhythmical, 5
spook, -18
the special, 2
great wrong, -9
sporting chance, 8
samarium, 3
swine flu, -19
excess, -42
cast envious eyes, -2
absolute power, 9
sedan chair, 2
muchacho, 9
slough, -87
order of worship, 20
trachodon, -1
semblance, 102
love song, 15
ill-balanced sentences, -13
bringing out, 2
truism, 13
research rocket, 1
gaudiness, 5
hi-fi fan, 22
vested estate, 5
inadvisability, -24
sky-blue, -1
volcanic wind, -2
manifestly, 34
hob, -3
grow rank, 8
monotype, 4
short temper, 1
junk mail, 11
next in line, 4
attractive, 96
psychic, -21
inconcinnity, -14
high-flown, -45
triumph, 50
tap, 22
electric spark, 2
teratoid, -7
joint ownership, 13
urban renewal, 14
phototelegraphic, 1
envy, -24
fellow townsman, 2
myriotheist, 1
electroetching, 6
marquise, 3
ritual observance, 38
cry havoc, -1
in this place, 5
segregate, -55
for public consumption, -1
join together, 54
barrens, -14
bullnecked, -10
blowpipe, -2
easy to understand, 7
emanative, 3
roughcast, 2
conch, 7
stenographer, 17
exciting current, 8
tormentor, 8
owner, 17
subsidy, 72
cocksure, 7
promiscuousness, -26
seductive, 58
hesitation, -23
fainting, -70
adjective, -2
reassemble, 6
make use of, 3
badly off, -32
merchant ship, 3
knock it off, -7
dido, 13
inconvenience, -63
expatiate, 3
nasty blow, -42
dipped, 2
compelled, 2
earring, 42
kilogram, 13
ooze, -25
timbrel, -7
frill, 57
final extremity, -5
suspension, -33
call a break, -2
a little thing, -6
adultery, 23
press heavy on, -31
anime, 1
dulcitude, 1
exposure, 64
grid emission, 1
passe-temps, 9
fervent imagination, 1
recuperate, 31
grammar school, 2
take pride in, 2
ribbon grass, 3
handlist, 13
