expletive, -357
US Naval Reserve, 1
classist, -2
unmuzzling, -7
measles, -73
bird feeder, 13
inconsequential, -68
public speaking, 71
representative government, 13
richer, 2
acetum, -7
dwelling, 283
testimonial banquet, 22
prat, 21949
islanded, -2
colorado, 58
deep-sunken, -3
floppiness, -4
get cold feet, -8
matter of fact, 31
apnea, -51
castor bean plant, 31
lumbar, 3
maxillary, 47
solitudinarian, -167
evasiveness, -58
lxx, 13
teashop, -31
revolite, 1
bitter end, 21
first-chop, 8
nitrostat, -43
weather ship, 8
veloce, 2
aiglet, 20
waldmeister, 50
simple eye, 13
dually, 2
crescentiform, 9
get a fix, 17
liege man, -11
kuki-chin, 54
cerebrum, 11
light-blue, -4
bothrops atrops, -7
exercise, 798
batting, 7
marine animal, -37
isaac hull, 7
make a funny, -4
villainousness, -27
chromism, 13
summons of death, -6
pawn, 67
ashcake, -13
sandwiching, -3
riquewihr, 1
Diana, -1
bewitchment, 73
cheaters, 4
unamazement, 2
set ashore, 26
kavakava, 7
picking and choosing, 2
k, 1008
antonio lopez de santa anna, -21
satisfying, 83
undamped, -12
car-mechanic, 62
Chiroptera, -4
spine-chilling, -4
clothier, -18
sax, -11
colluvies, 6
funnyman, -8
lachrymation, -63
floweret, 22
cobalt green, 2
disrelated, -26
feline, 27
whyfor, 4
arcadian, -27
snoopy, -14
Rhesus factor, 18
unrealistic, -71
platonic philosophy, 1
lenity, 126
manic depressive, -2
aeromotor, 6
rapid fire, 9
tautological, -8
thermionic emission, 10
outcrop, 56
sodality, 80
phenylketonuria, -7
mail-order buying, 18
russo-japanese war, -5
dent, -117
valiantly, 9
unremorsefully, -5
crotonbug, -31
n-tuple linear algebra, 3
join the opposition, -11
invertebrate foot, 7
loathly, -3
break out, -110
county police, 7
booth, 106
debiting, 2
sparging, -15
8, 546
appreciable, 32
capulin tree, 13
documentary, 128
working on, 17
know inside out, 3
podgy, -23
doctrinary, 4
indirect initiative, 3
cottontail rabbit, -13
amanuensis, 58
fire hook, -73
festooned pahoehoe, -9
enigmatic, -55
recollected, 19
disembarrass, -67
heave out, -18
wish well, 7
unintermittingly, 6
householder, 21
uncompassionately, -5
hoot owl, -6
objurgate, -269
base hit, 7
on sabbatical leave, -3
compatriot, 22
selling agent, 8
Arcadia, 17
citrus medica, 13
republic of guinea, 26
despising, -42
french community, 1
sturm und drang, -26
Ionic, 3
loftily, 6
reprovingly, -2
highlands of scotland, 7
environmental science, 26
pluvious, -2
leave the country, -3
electronic-flash unit, 2
list price, 11
intrepid, 16
string of beads, 7
pile dwelling, 7
environs, 149
ten cents, 16
schoolmastering, 5
Paul Revere, 8
pheon, 43
cola, -26
pronghorn antelope, -31
commixture, 276
bicycle seat, 19
compurgation, 25
suffragism, 8
hipster, -63
prang up, -63
mass-produce, 20
dissociated, -26
callus, -47
security agreement, 2
cave art, 12
rural economy, 11
italia, 13
permian, 9
flip one's wig, -1266
tangential, 10
squash vine, -7
be apprised of, 21
proclamation, 174
falcade, 6
biographical sketch, 25
gear train, 4
jostle, -86
broad spectrum, 2
gup, -21
connote, 70
ill-educated, -28
hops, -7
exec, 30
reducing, 10
natural theology, 12
sell retail, -3
Old Nick, -6
unauthoritative, -38
nethermost, 8
nonfiction, 46
mechanical engineer, 6
combat zone, -32
Liberty Party, 3
weary-footed, -25
perspicuously, 9
disjoined, -57
un-come-at-able, -18
receiving set, 269
go partners, 36
dissension, -121
tetrahedron, 13
interlacery, 11
labium, 30
not long ago, 3
immediately, 26
cooked, 3
interrelated, 27
prostate gland, 17
goodwife, -4
by election, 5
nolle pros, 13
idolistic, -4
kamasin, 1
t-man, 5
show business, 48
sailing packet, -4
technicolor, 5
samovar, -6
honorary, 5
bounden, 11
nippy, -25
amenities, 112
gantlet, -78
begging, -39
loutish, -70
texas fever, -5
plaintiff in error, -7
stroke of wit, 8
go forth, 261
fuss-budget, -91
crambo clink, -2
mite, 455
new theology, -3
jupiter, 20
thoughtless, -190
aguey, -9
elation, 67
swampland, -32
clock-watching, -8
circumscribed, 12
carriage trade, 24
hold in view, 15
quantizable, 9
Hindu calendar, 1
skimmington, 16
peaked cap, 46
oxytetracycline, -21
ortega y gasset, 9
pasturage, 108
hacienda, 32
thurifer, 11
dicky-seat, -43
full-armed, 3
gold filled, 2
presbytes entellus, -21
choicelessness, -3
rhythmical, 18
spook, 173
the special, 3
great wrong, -10
argus-eyed, 3
sporting chance, 17
samarium, 44
swine flu, -28
excess, -172
atomic number 99, 84
cast envious eyes, -3
absolute power, 10
sedan chair, 25
muchacho, 10
ash can, 7
slough, -265
order of worship, 21
trachodon, -10
semblance, 183
love song, 24
ill-balanced sentences, -14
bringing out, 3
truism, 18
research rocket, 29
gaudiness, 533
hi-fi fan, 23
vested estate, 6
inadvisability, -29
majors, 26
sky-blue, -4
volcanic wind, -3
manifestly, 35
hob, -497
grow rank, 9
monotype, 22
short temper, -64
chequebook, 7
junk mail, 16
next in line, 5
attractive, 149
psychic, -28
inconcinnity, -15
high-flown, -48
triumph, 269
tap, 250
horse gentian, 31
electric spark, 3
rat-a-tat-tat, -26
teratoid, -8
joint ownership, 14
urban renewal, 19
phototelegraphic, 2
envy, -74
trouble oneself, -42
fellow townsman, 3
myriotheist, 2
electroetching, 7
marquise, 34
fine art, 7
ritual observance, 39
federal soldier, 26
cry havoc, -2
for public consumption, -2
segregate, -72
in this place, 6
join together, 55
ack-ack gun, 171
cat squirrel, -13
bullnecked, -12
barrens, -15
emanative, 4
easy to understand, 8
blowpipe, -94
roughcast, 27
conch, 12
succourer, 7
stenographer, 45
post card, 21
owner, 48
tormentor, -73
exciting current, 9
before the fall, -1
subsidy, 77
promiscuousness, -67
cocksure, 9
seductive, 86
reassemble, 11
adjective, -13
fainting, -71
hesitation, -305
military recruit, 7
dog sleigh, 13
bacchanalia, -511
merchant ship, 89
badly off, -33
make use of, 4
knock it off, -8
dido, 18
inconvenience, -509
expatiate, 733
compelled, 3
dipped, 4
nasty blow, -43
kilogram, 41
earring, 47
timbrel, -12
ooze, -935
final extremity, -6
frill, -278
a little thing, -7
call a break, -3
suspension, -245
press heavy on, -32
adultery, 64
kumquat tree, 13
anime, 25
dulcitude, 2
exposure, 254
fervent imagination, 2
passe-temps, 10
grid emission, 2
warranter, 63
recuperate, 156
grammar school, 92
lobworm, 13
ribbon grass, 36
take pride in, 3
handlist, 14
chickadee, -6
moiety, 59
making love, 93
benzedrine, 9
teach, 164
total agreement, 19
chat up, -819
vividness, 141
navel, 154
kick the beam, -7
infixation, 8
NW, 1
architect, 70
inaptitude, -34
the way, 1
jig, -48
by rights, 7
cut-and-dry, 15
brush aside, -452
lemon yellow, 21
boar, 16
allayed, -8
commercial enterprise, 53
open wound, -20
fridge, 17
cerebellar hemispheres, 7
stained, 7
Dutch cap, 2
midge, -9
thumb down, -16
materialise, 26
unintentional, -39
concerted action, 26
white, -144
veronal, -31
mendelism, 16
not look like, -2
fathomlessness, 2
against the wind, -13
fidelity, 84
pacificatory, 15
leavening, -4
embrocation, 30
run for office, 9
bring into focus, 4
drive stakes, 3
school child, 3
alto rilievo, 13
obnoxiously, -16
endorser, 116
overluxuriant, 5
tinker's dam, -365
software package, 43
demonstratable, 21
routing plane, 2
captor, 17
sion, 77
brow, 140
the christ child, 1
put on airs, -47
place upright, 26
south wind, -3
composedly, 10
crib, -82
nonpros, 11
taunting, -70
all wrong, -40
be engaged in, 5
skedaddling, -7
oppression, -66
color spectrum, 13
regolith, 14
perfect, 187
get the hang of, 2
putana, -1
snow-still, -2
defalcate, -145
unconformity, -53
slap at, -20
zealotism, -3
commit sin, -6
Turkish rug, 2
pr man, 21
bug bomb, -19
politicking, 3
technical foul, 7
Marathon, -1
both, 18
demonstratability, 2
touch off, 634
intercepting, -2
